sampleid,perwt,ftotinc,incwage,inctot,sex,age,educ,eduyears,degfield,hoursworked,raceethnicity,married,nchild,nchlt5,famsize,occtype,indtype,inschool,movedlastyear,hadchildlastyear,marriedlastyear,divorcedlastyear,disability,head,spouse,ownershp,homeowner,healthins,nocoverage,commutingtime,foreignborn,citizenship,region,statefip,metrohomeplace,metropop,metroba18pc
68,97,200000,150000,150000,male,45,5+ years of college,18,business,40,hispanic,1,3,0,5,educationlibrary,education,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,45,0,1,middle atlantic division,new york,1,20320876,37.242645
70,18,94000,60000,60000,male,36,4 years of college,16,business,50,nhwhite,1,3,2,5,manufandinstallation,construction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,50,0,1,east north central div,illinois,1,2807216,32.106228
71,149,171700,122000,122000,male,53,5+ years of college,18,education administration and teaching,55,nhwhite,1,2,0,4,businessfinance,education,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,60,0,1,south atlantic division,south carolina,1,895923,26.278257
74,60,333000,237000,238500,male,38,5+ years of college,18,engineering,60,nhwhite,1,1,1,3,manufandinstallation,manufacture,0,1,0,0,0,0,1,0,rented,0,public/employer,0,22,0,1,pacific division,california,1,4727357,46.360546
77,107,282000,26000,26000,female,26,1 year of college,13,n/a,40,nhwhite,0,0,0,3,office,ruralextraction,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,20,0,1,south atlantic division,south carolina,0,,
78,252,158800,26000,26000,female,63,4 years of college,16,education administration and teaching,40,nhwhite,0,2,0,3,businessfinance,health,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,15,0,1,west south central div,texas,1,2473974,25.463844
81,27,94600,55000,55000,male,61,grade 12,12,n/a,40,nhwhite,1,0,0,2,transportation,construction,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,20,0,1,east north central div,wisconsin,1,162309,19.355774
82,83,86200,33600,37600,female,34,grade 12,12,n/a,40,nhwhite,1,2,0,4,health,health,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,20,0,1,south atlantic division,virginia,1,6216710,47.067619
83,130,128500,52000,52000,female,32,4 years of college,16,business,40,nhwhite,1,1,1,3,businessfinance,construction,0,0,1,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,90,0,1,east north central div,indiana,1,9533895,35.037014
85,99,0,10000,10000,female,20,grade 12,12,n/a,40,nhwhite,0,0,0,3,manufandinstallation,manufacture,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,10,0,1,east north central div,ohio,0,,
86,50,143300,120000,115300,female,50,4 years of college,16,business,40,nhasian,1,0,0,2,businessfinance,finance,0,0,0,0,0,0,1,0,owned or being bought (loan),1,individual only,0,20,1,1,pacific division,california,1,13353907,31.398245
87,48,117500,22500,35000,female,61,2 years of college,14,n/a,40,nhwhite,1,0,0,2,office,professional,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,5,0,1,west north central div,south dakota,0,,
93,33,48000,48000,48000,female,27,4 years of college,16,"physical fitness, parks, recreation, and leisure",40,nhasian,0,0,0,1,businessfinance,professional,1,1,0,0,0,0,0,0,rented,0,public/employer,0,2,1,1,pacific division,california,1,13353907,31.398245
95,126,80000,30000,30000,female,48,grade 12,12,n/a,40,nhwhite,1,1,0,3,salesandservicesandfood,otherservices,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,15,0,1,east north central div,indiana,0,,
98,28,138800,113000,115500,male,62,grade 12,12,n/a,60,nhwhite,0,2,0,3,transportation,retailtrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,45,0,1,east north central div,wisconsin,0,,
99,114,137000,92000,92000,female,30,2 years of college,14,n/a,40,nhwhite,1,2,2,4,health,manufacture,0,0,0,0,0,0,1,0,rented,0,public/employer,0,0,0,1,pacific division,california,1,272673,12.371526
100,80,121500,37000,55000,male,62,grade 12,12,n/a,40,nhblack,1,1,0,5,salesandservicesandfood,education,0,0,0,0,0,1,0,1,owned or being bought (loan),1,public/employer,0,15,0,1,south atlantic division,maryland,1,6216710,47.067619
101,101,47300,47300,47300,male,30,5+ years of college,18,computer and information sciences,50,nhwhite,1,2,1,4,educationlibrary,education,0,0,0,0,0,0,1,0,rented,0,no coverage,1,20,1,1,south atlantic division,maryland,0,,
102,148,52000,31000,31000,male,36,1 year of college,13,n/a,40,nhwhite,1,0,0,2,office,retailtrade,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,30,0,1,south atlantic division,florida,1,487784,24.047352
104,103,114000,80000,80000,male,44,5+ years of college,18,"english language, literature, and composition",40,nhwhite,1,3,0,5,businessfinance,education,1,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,50,0,1,new england division,maine,1,532083,37.789799
109,55,25000,25000,25000,male,32,grade 12,12,n/a,48,nhwhite,0,0,0,1,transportation,manufacture,0,0,0,0,0,0,1,0,rented,0,public/employer,0,20,0,1,west north central div,minnesota,0,,
113,18,65000,45000,45000,male,48,grade 12,12,n/a,40,nhwhite,1,2,0,4,manufandinstallation,manufacture,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,15,0,1,east north central div,wisconsin,0,,
114,79,153000,75000,75000,female,54,2 years of college,14,n/a,40,nhwhite,1,1,0,3,health,public,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,8,0,1,south atlantic division,florida,0,,
115,117,10600,40100,40100,male,63,grade 12,12,n/a,50,nhwhite,0,0,0,2,office,transportation,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,20,0,1,mountain division,montana,0,,
116,31,141400,80000,80000,male,52,4 years of college,16,business,40,nhwhite,1,4,0,6,businessfinance,finance,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,west south central div,texas,1,2473974,25.463844
120,258,75000,10000,10000,female,30,2 years of college,14,n/a,45,nhwhite,1,1,1,3,office,transportation,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,60,0,1,middle atlantic division,new jersey,1,20320876,37.242645
121,92,117000,58000,58000,male,64,1 year of college,13,n/a,40,nhwhite,1,0,0,2,salesandservicesandfood,retailtrade,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,45,0,1,middle atlantic division,new york,1,20320876,37.242645
123,104,22000,22000,22000,female,33,1 year of college,13,n/a,40,nhwhite,0,2,0,3,salesandservicesandfood,retailtrade,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,15,0,1,south atlantic division,west virginia,0,,
125,100,89800,80000,80000,female,52,1 year of college,13,n/a,40,nhwhite,0,0,0,2,salesandservicesandfood,professional,0,0,0,0,1,0,1,0,rented,0,public/employer,0,4,1,1,west south central div,texas,1,411339,16.196306
127,60,85000,45000,45000,male,61,2 years of college,14,n/a,40,nhwhite,1,0,0,2,construction,manufacture,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,45,0,1,east south central div,kentucky,1,118831,19.380737
128,104,134500,60000,60000,female,45,4 years of college,16,computer and information sciences,40,hispanic,1,3,0,5,office,public,0,0,0,0,0,0,1,0,rented,0,public/employer,0,25,0,1,middle atlantic division,new jersey,1,20320876,37.242645
134,118,6000,22000,25000,male,27,grade 12,12,n/a,40,nhwhite,0,2,2,4,transportation,retailtrade,0,0,0,0,0,0,0,0,rented,0,public/employer,0,5,0,1,pacific division,california,1,179921,21.353716
136,126,138600,47000,47000,female,43,2 years of college,14,n/a,60,nhother,0,1,0,4,salesandservicesandfood,retailtrade,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,30,0,1,middle atlantic division,new jersey,1,20320876,37.242645
137,69,501000,22000,22000,male,62,grade 12,12,n/a,40,nhblack,1,1,0,3,construction,health,0,0,0,0,0,0,1,0,rented,0,public/employer,0,20,0,1,south atlantic division,georgia,0,,
138,103,6000,6000,6000,male,25,2 years of college,14,n/a,40,nhwhite,0,0,0,1,salesandservicesandfood,retailtrade,0,0,0,0,0,0,1,0,rented,0,public/employer,0,20,0,1,west south central div,arkansas,0,,
140,18,,20000,20000,female,26,grade 12,12,n/a,40,nhwhite,0,0,0,1,military,military,0,0,0,0,0,0,0,0,group quarter/institution,0,public/employer,0,5,0,1,pacific division,washington,0,,
142,46,80000,80000,80000,male,36,5+ years of college,18,criminal justice and fire protection,50,nhwhite,0,0,0,2,office,health,0,1,0,0,0,1,1,0,rented,0,public/employer,0,10,0,1,south atlantic division,south carolina,1,825004,28.537317
144,135,43000,43000,43000,male,38,grade 12,12,n/a,40,hispanic,0,3,2,5,construction,construction,0,0,0,0,0,0,1,0,rented,0,no coverage,1,30,1,0,mountain division,arizona,1,4737270,28.396246
151,62,32600,27200,32600,female,29,1 year of college,13,n/a,40,nhwhite,0,1,1,2,office,public,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,35,0,1,west north central div,kansas,1,646542,28.538767
155,38,40000,20500,20500,female,27,4 years of college,16,fine arts,40,nhwhite,0,0,0,2,office,professional,1,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,15,0,1,east south central div,kentucky,1,1293722,26.901787
156,120,141500,12000,12000,male,23,grade 12,12,n/a,40,nhwhite,0,0,0,3,manufandinstallation,manufacture,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,45,0,1,middle atlantic division,new york,0,,
159,48,170000,85000,85000,male,57,4 years of college,16,business,38,nhasian,1,2,0,4,health,health,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,1,1,middle atlantic division,new york,1,886188,34.473579
162,32,152000,44000,44000,male,51,1 year of college,13,n/a,40,nhwhite,1,2,0,4,manufandinstallation,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,50,0,1,south atlantic division,florida,1,3091399,28.138767
163,137,25000,25000,25000,male,23,2 years of college,14,n/a,50,hispanic,0,0,0,2,salesandservicesandfood,retailtrade,0,1,0,0,0,0,1,0,rented,0,public/employer,0,45,0,1,south atlantic division,florida,1,6158824,29.833658
164,73,52000,36000,36000,male,56,grade 12,12,n/a,40,nhblack,1,1,0,3,businessfinance,finance,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,10,0,1,west north central div,missouri,0,,
165,118,171000,62000,62000,male,60,grade 12,12,n/a,40,nhwhite,1,2,0,4,manufandinstallation,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,20,0,1,west north central div,minnesota,1,3600618,38.914993
166,80,78000,24000,24000,female,27,grade 12,12,n/a,40,hispanic,0,0,0,3,office,information,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,50,0,1,mountain division,utah,1,617678,32.607349
167,29,30000,42000,42000,female,48,grade 12,12,n/a,45,nhwhite,0,0,0,2,salesandservicesandfood,retailtrade,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,22,0,1,west north central div,iowa,0,,
172,106,40000,40000,40000,male,46,1 year of college,13,n/a,50,nhwhite,0,0,0,1,manufandinstallation,manufacture,0,0,0,0,0,1,1,0,owned or being bought (loan),1,public/employer,0,45,0,1,west south central div,arkansas,1,738082,28.683376
173,115,182000,180000,182000,male,42,4 years of college,16,social sciences,40,nhother,0,0,0,1,businessfinance,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,40,0,1,pacific division,california,1,3337685,35.098385
174,145,70000,70000,70000,male,25,4 years of college,16,business,40,nhblack,0,0,0,1,businessfinance,retailtrade,0,0,0,0,0,0,1,0,rented,0,public/employer,0,0,1,1,middle atlantic division,pennsylvania,1,2333367,33.170727
176,210,110000,30000,30000,male,29,4 years of college,16,communications,40,nhwhite,1,0,0,2,office,transportation,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,40,0,1,south atlantic division,south carolina,1,825004,28.537317
177,52,115000,43200,41600,male,60,5+ years of college,18,linguistics and foreign languages,70,nhwhite,1,0,0,2,educationlibrary,education,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,30,0,1,mountain division,colorado,1,343976,42.87788
178,88,424000,424000,424000,male,48,4 years of college,16,engineering,50,nhwhite,0,5,0,7,artsrecreationmedia,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,individual only,0,10,0,1,east north central div,michigan,1,4313002,28.965315
181,18,145000,125000,130000,male,59,4 years of college,16,business,48,nhwhite,1,0,0,2,businessfinance,construction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,25,0,1,pacific division,washington,0,,
182,79,193000,180000,193000,male,50,5+ years of college,18,biology and life sciences,60,nhwhite,1,1,0,3,science,professional,0,1,0,0,0,0,1,0,rented,0,public/employer,0,25,1,0,pacific division,california,1,3337685,35.098385
184,72,230030,55000,55030,female,29,5+ years of college,18,education administration and teaching,48,nhwhite,1,0,0,2,educationlibrary,education,0,1,0,1,0,0,1,0,owned or being bought (loan),1,public/employer,0,35,0,1,east south central div,tennessee,1,554876,25.148182
188,148,86300,60000,60000,female,59,1 year of college,13,n/a,55,nhwhite,0,0,0,2,businessfinance,professional,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,15,0,1,mountain division,montana,0,,
191,35,60630,30000,30000,male,59,grade 12,12,n/a,40,nhwhite,1,0,0,2,office,manufacture,0,0,0,0,0,0,1,0,rented,0,public/employer,0,10,0,1,middle atlantic division,new york,0,,
194,116,208500,105000,157000,male,29,4 years of college,16,social sciences,42,nhwhite,1,0,0,2,businessfinance,finance,0,1,0,1,0,0,0,1,owned or being bought (loan),1,public/employer,0,17,0,1,east north central div,indiana,1,434617,23.614923
195,90,128000,128000,128000,male,64,4 years of college,16,business,40,nhwhite,1,0,0,2,businessfinance,finance,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,45,0,1,east north central div,illinois,1,9533895,35.037014
197,93,40000,12000,12000,female,41,grade 12,12,n/a,40,nhwhite,1,3,0,5,salesandservicesandfood,retailtrade,1,1,0,0,0,0,1,0,owned or being bought (loan),1,individual only,0,15,1,1,south atlantic division,georgia,1,5882450,34.712471
198,142,29000,29000,29000,female,27,1 year of college,13,n/a,50,nhwhite,0,0,0,1,health,health,0,1,0,0,0,1,1,0,rented,0,individual only,0,35,0,1,pacific division,oregon,0,,
199,82,41500,17600,17600,male,45,grade 12,12,n/a,50,hispanic,0,1,0,2,ruralextraction,ruralextraction,0,0,0,0,0,1,0,0,rented,0,no coverage,1,5,1,1,middle atlantic division,new york,0,,
200,140,200060,140000,140000,male,42,5+ years of college,18,education administration and teaching,40,nhwhite,1,2,2,4,salesandservicesandfood,wholesaletrade,0,1,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,45,0,1,mountain division,arizona,1,4737270,28.396246
204,18,27000,27000,27000,male,34,"grade 5, 6, 7, or 8",5.5,n/a,45,nhwhite,0,0,0,1,manufandinstallation,manufacture,0,0,0,0,0,0,1,0,rented,0,individual only,0,40,0,1,east north central div,michigan,0,,
205,74,100000,100000,100000,male,54,grade 12,12,n/a,40,nhblack,0,0,0,1,protection,public,0,0,0,0,0,0,1,0,owned or being bought (loan),1,individual only,0,15,0,1,east north central div,indiana,1,2027059,33.014378
208,76,53600,53000,53000,female,44,2 years of college,14,n/a,41,nhwhite,0,1,0,2,businessfinance,construction,0,0,0,0,0,0,1,0,rented,0,public/employer,0,19,0,1,mountain division,arizona,1,4737270,28.396246
210,128,141000,42000,42000,male,25,grade 12,12,n/a,40,nhwhite,1,2,1,4,salesandservicesandfood,professional,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,10,0,1,east south central div,tennessee,0,,
212,35,67000,34000,34000,female,47,grade 12,12,n/a,40,nhwhite,1,2,0,4,businessfinance,health,0,1,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,30,0,1,west south central div,texas,1,411339,16.196306
217,110,477000,145000,145000,male,58,4 years of college,16,business,40,nhwhite,1,0,0,2,businessfinance,finance,0,1,0,0,0,0,1,0,rented,0,public/employer,0,0,0,1,south atlantic division,south carolina,1,775831,32.648121
221,79,58000,28000,28000,male,28,grade 11,11,n/a,40,nhwhite,1,0,0,2,manufandinstallation,retailtrade,0,0,0,0,0,0,1,0,rented,0,public/employer,0,10,0,1,east north central div,ohio,0,,
224,40,36000,32000,32000,female,36,grade 12,12,n/a,40,nhwhite,0,1,0,3,manufandinstallation,manufacture,0,1,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,45,0,1,east north central div,ohio,1,541926,20.171476
226,239,163300,37000,37300,female,49,1 year of college,13,n/a,40,nhnative,1,0,0,2,businessfinance,finance,0,1,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,south atlantic division,georgia,0,,
227,104,331000,110000,110000,female,50,5+ years of college,18,medical and health sciences and services,50,nhwhite,1,2,0,4,social,health,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,45,0,1,pacific division,washington,1,3867046,39.11578
232,169,37400,32000,32000,female,32,1 year of college,13,n/a,42,hispanic,0,2,1,4,health,health,1,1,0,0,0,0,0,0,rented,0,public/employer,0,15,0,1,west south central div,texas,1,7400479,31.686863
234,63,129800,57000,57000,female,54,grade 12,12,n/a,45,nhwhite,1,0,0,2,office,manufacture,0,1,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,25,0,1,mountain division,arizona,1,4737270,28.396246
236,56,26000,26000,26000,female,37,2 years of college,14,n/a,50,nhasian,0,2,2,3,salesandservicesandfood,health,0,0,0,0,0,0,1,0,rented,0,public/employer,0,20,1,0,new england division,connecticut,1,1210259,35.466427
237,43,82000,82000,82000,male,28,grade 12,12,n/a,45,nhwhite,0,0,0,2,businessfinance,construction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,no coverage,1,20,0,1,south atlantic division,maryland,1,405853,25.788261
243,101,115000,60000,60000,female,31,4 years of college,16,criminal justice and fire protection,40,hispanic,1,2,2,4,social,public,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,25,0,1,middle atlantic division,new jersey,1,20320876,37.242645
244,141,62000,20000,20000,female,31,grade 12,12,n/a,40,nhwhite,1,0,0,2,salesandservicesandfood,otherservices,0,0,0,0,0,0,0,1,rented,0,no coverage,1,8,0,1,south atlantic division,maryland,1,2808175,36.65374
245,108,77000,35000,35000,male,42,grade 12,12,n/a,45,nhwhite,1,0,0,2,construction,construction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,25,0,1,east north central div,indiana,1,434617,23.614923
247,40,140000,40000,40000,male,44,grade 12,12,n/a,40,nhwhite,1,0,0,2,construction,construction,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,5,0,1,west south central div,texas,1,411339,16.196306
248,58,65000,25000,25000,female,52,grade 12,12,n/a,37,nhwhite,1,0,0,2,office,health,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,12,0,1,mountain division,wyoming,0,,
249,63,229400,98000,98000,male,60,2 years of college,14,n/a,40,nhwhite,1,2,0,4,csmathengineering,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,90,0,1,south atlantic division,georgia,1,5882450,34.712471
259,34,105000,41000,41000,female,51,grade 12,12,n/a,54,nhasian,1,0,0,2,businessfinance,hospitality,0,0,0,0,0,0,1,0,owned or being bought (loan),1,no coverage,1,15,1,0,south atlantic division,florida,1,473429,23.614891
261,141,50000,50000,50000,male,32,2 years of college,14,n/a,50,nhwhite,0,0,0,2,manufandinstallation,otherservices,0,0,0,0,0,0,1,0,owned or being bought (loan),1,public/employer,0,20,0,1,west north central div,minnesota,0,,
262,41,103500,21000,24500,male,21,1 year of college,13,n/a,40,nhwhite,0,0,0,3,health,health,0,0,0,0,0,0,0,0,owned or being bought (loan),1,public/employer,0,25,0,1,east north central div,illinois,0,,
263,104,78700,77000,77000,male,53,2 years of college,14,n/a,85,nhblack,1,0,0,2,manufandinstallation,wholesaletrade,0,0,0,0,0,1,1,0,owned or being bought (loan),1,public/employer,0,60,0,1,south atlantic division,georgia,1,5882450,34.712471
264,55,53000,42000,42000,male,56,grade 12,12,n/a,41,nhwhite,1,0,0,2,salesandservicesandfood,manufacture,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,7,0,1,south atlantic division,north carolina,1,2525305,32.911201
265,81,62000,28000,28000,female,42,1 year of college,13,n/a,40,nhwhite,1,3,0,5,salesandservicesandfood,wholesaletrade,0,0,0,0,0,0,0,1,owned or being bought (loan),1,public/employer,0,20,0,1,east south central div,alabama,1,1149807,28.294447
